218108028.93219793
         329067 function calls (310694 primitive calls) in 0.734 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 base.py:964(get_helper_class)
        3    0.000    0.000    0.000    0.000 base.py:972(_make_helper)
        3    0.000    0.000    0.000    0.000 base.py:976(make_helper)
        1    0.000    0.000    0.013    0.013 basic.py:7(<module>)
        1    0.000    0.000    0.003    0.003 blas.py:202(<module>)
        1    0.000    0.000    0.000    0.000 blas.py:233(<dictcomp>)
        1    0.000    0.000    0.000    0.000 blas.py:234(<dictcomp>)
        2    0.000    0.000    0.000    0.000 blas.py:365(_memoize_get_funcs)
        1    0.000    0.000    0.000    0.000 boxing.py:120(box_none)
        1    0.000    0.000    0.000    0.000 boxing.py:17(box_bool)
        2    0.000    0.000    0.001    0.000 boxing.py:45(unbox_integer)
        2    0.000    0.000    0.000    0.000 boxing.py:61(box_float)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:24(bsr_matrix)
        1    0.000    0.000    0.000    0.000 bufproto.py:3(<module>)
       23    0.000    0.000    0.000    0.000 builder.py:147(wrapped)
      125    0.000    0.000    0.000    0.000 builder.py:160(_label_suffix)
        9    0.000    0.000    0.000    0.000 builder.py:177(__init__)
       39    0.000    0.000    0.000    0.000 builder.py:18(wrapped)
     1885    0.000    0.000    0.000    0.000 builder.py:182(block)
      270    0.000    0.000    0.000    0.000 builder.py:191(function)
       25    0.000    0.000    0.000    0.000 builder.py:198(module)
       12    0.000    0.000    0.000    0.000 builder.py:205(position_before)
      325    0.000    0.000    0.000    0.000 builder.py:228(position_at_end)
      130    0.000    0.000    0.001    0.000 builder.py:235(append_basic_block)
      194    0.000    0.000    0.000    0.000 builder.py:242(goto_block)
      184    0.000    0.000    0.001    0.000 builder.py:259(goto_entry_block)
      130    0.000    0.000    0.000    0.000 builder.py:268(_branch_helper)
      110    0.000    0.000    0.003    0.000 builder.py:275(if_then)
       10    0.000    0.000    0.000    0.000 builder.py:298(if_else)
     1045    0.001    0.000    0.001    0.000 builder.py:329(_insert)
      154    0.000    0.000    0.000    0.000 builder.py:335(_set_terminator)
       14    0.000    0.000    0.000    0.000 builder.py:517(not_)
        1    0.000    0.000    0.000    0.000 builder.py:528(neg)
       84    0.000    0.000    0.001    0.000 builder.py:539(_icmp)
       54    0.000    0.000    0.001    0.000 builder.py:550(icmp_signed)
       30    0.000    0.000    0.000    0.000 builder.py:559(icmp_unsigned)
        1    0.000    0.000    0.000    0.000 builder.py:568(fcmp_ordered)
       12    0.000    0.000    0.000    0.000 builder.py:600(select)
       94    0.000    0.000    0.001    0.000 builder.py:708(alloca)
      223    0.000    0.000    0.002    0.000 builder.py:726(load)
      250    0.000    0.000    0.002    0.000 builder.py:739(store)
       62    0.000    0.000    0.001    0.000 builder.py:796(branch)
       61    0.000    0.000    0.001    0.000 builder.py:804(cbranch)
       31    0.000    0.000    0.000    0.000 builder.py:828(ret)
       91    0.000    0.000    0.002    0.000 builder.py:845(call)
       20    0.000    0.000    0.000    0.000 builder.py:888(gep)
       56    0.000    0.000    0.000    0.000 builder.py:933(extract_value)
        3    0.000    0.000    0.000    0.000 builtins.py:109(generic)
        3    0.000    0.000    0.000    0.000 builtins.py:25(generic)
        8    0.000    0.000    0.000    0.000 builtins.py:301(constant_dummy)
        3    0.000    0.000    0.000    0.000 builtins.py:37(generic)
        1    0.000    0.000    0.000    0.000 builtins.py:82(none_equality)
        3    0.000    0.000    0.000    0.000 builtins.py:98(generic)
       57    0.000    0.000    0.000    0.000 bytecode.py:120(_unpack_opargs)
       60    0.000    0.000    0.000    0.000 bytecode.py:148(_patched_opargs)
        3    0.000    0.000    0.000    0.000 bytecode.py:164(__init__)
